H2O@ Tob-I Amor-Sl Jennite Tob-II C2AH8 C2FH8 C3AH6 C3FH6 C4AH13 C4FH13 ettringite Fe-ettringite 1ettringite 1Fe-ettringite monosulphate Fe-monosulphate straetlingite C2FSH8 hemicarbonate Fe-hemicarbonate monocarbonate Femonocarbonate 1C4AH13 1monosulphate 2C4AH13 2monosulphate tricarboalu 2ettringite 1tricarboalu 3ettringite hydrotalcite Fe-hydrotalcite AlOHam Gbs Kln Gr C2S-beta C3A C3S C4AF 1C2AH8 1C3AH6 3C4AH13 CAH10 3monosulphate 1straetlingite C3AS0.8H4.4 1hemicarbonate 1monocarbonate 4ettringite Arg Cal Dis-Dol Ord-Dol Lim Portlandite Anh Gp hemihydrate thaumasite Fe FeCO3(pr) Sd Hem Mag Fe(OH)3(am) Fe(OH)3(mic) Gt Py Tro Melanterite syngenite 1hydrotalcite CO3-hydrotalcite Mgs Brc Sulfur Qtz Amor-Sl 
42.701 0 0 0.0141082 0.0014163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6851 7.97 54.46 6.96 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.700111 0 4.16326 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00402186 0 0 0 4.68822 0 0 0 
42.7005 0 0 0.0155522 0.00156126 0 0 0 0 0 0 7.55876e-05 1.75708e-07 7.55876e-05 1.75708e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6837 7.96997 54.46 6.96 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.700249 0 4.16384 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00344111 0 0 0 4.68822 0 0 0 
42.6992 0 0 0.0174292 0.00174969 0 0 0 0 0 0 0.00107332 6.41788e-06 0.00107332 6.41788e-06 0 0 0 0 0 0 0 0 0 0 0 0 4.63554e-28 1.8231e-19 4.63554e-28 1.8231e-19 0 0 0 0 0 0 15.682 7.96954 54.4596 6.96 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.700734 0 4.16302 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00349121 0 0 0 4.68822 0 0 0 
42.6972 0 0 0.02024 0.00203186 0 0 0 0 0 0 0.00271499 2.62491e-05 0.00271499 2.62491e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6802 7.96884 54.4581 6.95998 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.701739 0 4.16164 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003586 0 0 0 4.68823 0 0 0 
42.6948 0 0 0.0240106 0.00241038 0 0 0 0 0 0 0.00479642 5.95111e-05 0.00479642 5.95111e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6783 7.96796 54.4556 6.95996 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.703271 0 4.15984 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00380787 0 0 0 4.68824 0 0 0 
42.6919 0 0 0.0287558 0.00288675 0 0 0 0 0 0 0.0072945 0.000106265 0.0072945 0.000106265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6761 7.9669 54.452 6.95992 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.705324 0 4.15787 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00374789 0 0 0 4.68826 0 0 0 
42.6883 0 0 0.0345452 0.00346793 0 0 0 0 0 0 0.0102244 0.000167439 0.0102244 0.000167439 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6737 7.96567 54.4472 6.95988 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.707944 0 4.15543 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00389514 0 0 0 4.68827 0 0 0 
42.6841 0 0 0.0414847 0.00416458 0 0 0 0 0 0 0.0136181 0.000244533 0.0136181 0.000244533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6711 7.96424 54.4412 6.95982 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.711183 0 4.15264 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00401061 0 0 0 4.68829 0 0 0 
42.6792 0 0 0.0497088 0.00499018 0 0 0 0 0 0 0.0175178 0.000339489 0.0175178 0.000339489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6682 7.9626 54.4338 6.95975 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.715118 0 4.14942 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00415895 0 0 0 4.68831 0 0 0 
42.6735 0 0 0.0593799 0.00596105 0 0 0 0 0 0 0.0437338 0.000904885 0.000216349 4.47643e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.665 7.96073 54.4248 6.95966 0 0 0 0 0 0 0 0 0 0 0 0.789852 0 0 0 0.719838 0 4.14576 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00431062 0 0 0 4.68834 0 0 0 
