Al(SO4)+ Al(SO4)2- Al+3 AlO+ AlO2- AlO2H@ AlOH+2 AlHSiO3+2 AlSiO4- AlSiO5-3 Ca(CO3)@ Ca(HCO3)+ Ca(SO4)@ Ca+2 CaOH+ Ca(HSiO3)+ CaSiO3@ Fe(CO3)@ Fe(HCO3)+ Fe(HSO4)+ Fe(SO4)@ Fe+2 FeOH+ Fe(HSO4)+2 Fe(SO4)+ Fe(SO4)2- Fe+3 Fe2(OH)2+4 Fe3(OH)4+5 FeO+ FeO2- FeO2H@ FeOH+2 FeHSiO3+2 K(SO4)- K+ KOH@ Mg(CO3)@ Mg(HCO3)+ Mg+2 MgOH+ MgSO4@ Mg(HSiO3)+ MgSiO3@ Na(CO3)- Na(HCO3)@ Na(SO4)- Na+ NaOH@ HSiO3- Si4O10-4 SiO2@ SiO3-2 CO2@ CO3-2 HCO3- CH4@ H2@ N2@ O2@ S2O3-2 HSO3- SO3-2 HSO4- SO4-2 H2S@ HS- S-2 OH- H+ H2O@ 
0 0 0 5.39943e-23 2.52477e-09 5.47376e-16 5.99125e-30 0 1.80655e-14 1.09621e-13 5.55025e-06 1.26922e-10 0.00540439 0.00234836 0.00149825 3.98378e-08 3.32194e-05 0 0 0 1.60335e-33 7.81901e-34 9.50783e-31 0 0 0 0 0 0 2.47123e-19 2.61775e-09 2.22421e-13 1.91118e-28 0 0.0906482 0.336064 0.00814404 3.46663e-12 1.27705e-16 2.57589e-09 3.59574e-08 6.96323e-09 8.71737e-14 4.58726e-10 1.3644e-05 6.8122e-10 0.030034 0.157268 0.00726128 3.53623e-06 5.06547e-18 1.79756e-09 3.87877e-06 2.47984e-15 1.53961e-05 1.40026e-08 0 0 0.000519652 0.000262957 0 0 0 5.21872e-13 0.125886 0 0 0 0.127016 1.40907e-13 0.984177 
0 0 0 5.39665e-23 2.5235e-09 5.47098e-16 5.98812e-30 0 1.80564e-14 1.09566e-13 5.55025e-06 1.26921e-10 0.00540439 0.00234832 0.00149824 3.98375e-08 3.32194e-05 0 0 0 1.6418e-33 8.00637e-34 9.73575e-31 0 0 0 0 0 0 2.53047e-19 2.68054e-09 2.27755e-13 1.95698e-28 0 0.0906486 0.336061 0.00814402 3.46663e-12 1.27704e-16 2.57585e-09 3.59571e-08 6.96323e-09 8.71731e-14 4.58726e-10 1.36449e-05 6.81262e-10 0.030036 0.157276 0.00726173 3.53625e-06 5.06553e-18 1.79756e-09 3.87881e-06 2.47984e-15 1.53962e-05 1.40027e-08 0 0 0.000519652 0.000262958 0 0 0 5.21875e-13 0.125888 0 0 0 0.127017 1.40906e-13 0.984177 
0 0 0 5.39399e-23 2.5223e-09 5.46833e-16 5.98511e-30 0 1.80478e-14 1.09515e-13 5.55025e-06 1.2692e-10 0.00540439 0.00234828 0.00149823 3.98372e-08 3.32194e-05 0 0 0 1.67755e-33 8.18056e-34 9.94766e-31 0 0 0 0 0 0 2.58555e-19 2.73893e-09 2.32715e-13 1.99955e-28 0 0.0906491 0.336058 0.00814402 3.46663e-12 1.27703e-16 2.57581e-09 3.59568e-08 6.96324e-09 8.71724e-14 4.58726e-10 1.36459e-05 6.81309e-10 0.0300383 0.157286 0.00726223 3.53627e-06 5.06561e-18 1.79756e-09 3.87885e-06 2.47984e-15 1.53964e-05 1.40028e-08 0 0 0.000519651 0.000262959 0 0 0 5.21878e-13 0.125889 0 0 0 0.127017 1.40905e-13 0.984177 
0 0 0 5.39144e-23 2.52114e-09 5.46579e-16 5.98224e-30 0 1.80395e-14 1.09466e-13 5.55025e-06 1.26919e-10 0.00540439 0.00234824 0.00149822 3.98368e-08 3.32194e-05 0 0 0 1.71116e-33 8.34432e-34 1.01469e-30 0 0 0 0 0 0 2.63733e-19 2.79382e-09 2.37377e-13 2.03958e-28 0 0.0906498 0.336055 0.00814402 3.46664e-12 1.27702e-16 2.57577e-09 3.59565e-08 6.96325e-09 8.71719e-14 4.58727e-10 1.36471e-05 6.81361e-10 0.0300408 0.157296 0.00726279 3.5363e-06 5.06586e-18 1.79756e-09 3.8789e-06 2.47984e-15 1.53966e-05 1.40029e-08 0 0 0.000519651 0.00026296 0 0 0 5.21882e-13 0.125891 0 0 0 0.127018 1.40904e-13 0.984176 
0 0 0 5.39096e-23 2.52099e-09 5.46539e-16 5.98155e-30 0 1.80384e-14 1.0946e-13 5.55025e-06 1.26917e-10 0.0054044 0.00234815 0.00149819 3.98362e-08 3.32194e-05 0 0 0 1.71659e-33 8.37048e-34 1.01789e-30 0 0 0 0 0 0 2.64567e-19 2.80274e-09 2.38131e-13 2.04598e-28 0 0.0906526 0.336056 0.00814416 3.46663e-12 1.277e-16 2.57566e-09 3.59559e-08 6.96325e-09 8.71703e-14 4.58727e-10 1.36485e-05 6.81421e-10 0.0300438 0.157308 0.00726343 3.53634e-06 5.06581e-18 1.79756e-09 3.87898e-06 2.47984e-15 1.53969e-05 1.4003e-08 0 0 0.00051965 0.000262961 0 0 0 5.21888e-13 0.125893 0 0 0 0.12702 1.40901e-13 0.984176 
0 0 0 5.39093e-23 2.52101e-09 5.4654e-16 5.98146e-30 0 1.80385e-14 1.09462e-13 5.55025e-06 1.26916e-10 0.0054044 0.00234811 0.00149818 3.98359e-08 3.32194e-05 0 0 0 1.71659e-33 8.37035e-34 1.01788e-30 0 0 0 0 0 0 2.64565e-19 2.80276e-09 2.38132e-13 2.04595e-28 0 0.0906516 0.336048 0.00814403 3.46663e-12 1.27699e-16 2.57562e-09 3.59557e-08 6.96325e-09 8.71697e-14 4.58727e-10 1.36498e-05 6.81483e-10 0.0300468 0.157321 0.00726409 3.53636e-06 5.06588e-18 1.79756e-09 3.87902e-06 2.47984e-15 1.5397e-05 1.40031e-08 0 0 0.000519649 0.000262963 0 0 0 5.21891e-13 0.125894 0 0 0 0.12702 1.409e-13 0.984176 
0 0 0 5.39088e-23 2.52104e-09 5.46542e-16 5.98132e-30 0 1.80388e-14 1.09464e-13 5.55025e-06 1.26914e-10 0.0054044 0.00234805 0.00149817 3.98354e-08 3.32195e-05 0 0 0 1.71659e-33 8.37011e-34 1.01787e-30 0 0 0 0 0 0 2.64562e-19 2.80278e-09 2.38132e-13 2.04589e-28 0 0.0906523 0.336043 0.00814401 3.46663e-12 1.27697e-16 2.57555e-09 3.59552e-08 6.96325e-09 8.71686e-14 4.58727e-10 1.36513e-05 6.81554e-10 0.0300502 0.157336 0.00726485 3.53639e-06 5.05939e-18 1.79756e-09 3.87908e-06 2.47984e-15 1.53972e-05 1.40032e-08 0 0 0.000519648 0.000262964 0 0 0 5.21896e-13 0.125896 0 0 0 0.127022 1.40899e-13 0.984175 
0 0 0 5.39082e-23 2.52108e-09 5.46544e-16 5.98113e-30 0 1.80391e-14 1.09467e-13 5.55025e-06 1.26912e-10 0.00540441 0.00234797 0.00149814 3.98348e-08 3.32195e-05 0 0 0 1.71667e-33 8.37021e-34 1.0179e-30 0 0 0 0 0 0 2.64571e-19 2.80296e-09 2.38143e-13 2.04592e-28 0 0.0906538 0.336039 0.00814404 3.46663e-12 1.27695e-16 2.57546e-09 3.59547e-08 6.96326e-09 8.71673e-14 4.58727e-10 1.36531e-05 6.81633e-10 0.0300541 0.157352 0.0072657 3.53644e-06 5.06611e-18 1.79756e-09 3.87916e-06 2.47984e-15 1.53975e-05 1.40034e-08 0 0 0.000519647 0.000262967 0 0 0 5.21902e-13 0.125899 0 0 0 0.127023 1.40896e-13 0.984175 
0 0 0 5.39079e-23 2.52111e-09 5.46546e-16 5.98102e-30 0 1.80393e-14 1.0947e-13 5.55025e-06 1.26911e-10 0.00540441 0.00234792 0.00149813 3.98344e-08 3.32195e-05 0 0 0 1.71659e-33 8.36961e-34 1.01784e-30 0 0 0 0 0 0 2.64556e-19 2.80285e-09 2.38132e-13 2.04578e-28 0 0.0906528 0.336029 0.00814388 3.46663e-12 1.27694e-16 2.57541e-09 3.59543e-08 6.96326e-09 8.71664e-14 4.58728e-10 1.36549e-05 6.81718e-10 0.0300581 0.15737 0.0072666 3.53647e-06 5.06624e-18 1.79756e-09 3.87922e-06 2.47984e-15 1.53978e-05 1.40035e-08 0 0 0.000519646 0.000262969 0 0 0 5.21907e-13 0.125901 0 0 0 0.127024 1.40895e-13 0.984175 
0 0 0 5.39067e-23 2.52119e-09 5.46551e-16 5.98067e-30 0 1.80399e-14 1.09476e-13 5.55025e-06 1.26907e-10 0.00540442 0.00234776 0.00149808 3.98332e-08 3.32195e-05 0 0 0 1.71659e-33 8.36903e-34 1.01781e-30 0 0 0 0 0 0 2.64548e-19 2.80292e-09 2.38133e-13 2.04564e-28 0 0.0906593 0.336035 0.00814427 3.46663e-12 1.2769e-16 2.57523e-09 3.59532e-08 6.96327e-09 8.71638e-14 4.58728e-10 1.36573e-05 6.81821e-10 0.0300634 0.157389 0.00726771 3.53655e-06 5.06647e-18 1.79756e-09 3.87937e-06 2.47984e-15 1.53984e-05 1.40038e-08 0 0 0.000519645 0.000262972 0 0 0 5.21919e-13 0.125906 0 0 0 0.127027 1.40891e-13 0.984174 
0 0 0 5.39063e-23 2.52122e-09 5.46553e-16 5.98055e-30 0 1.80401e-14 1.09285e-13 5.55025e-06 1.26906e-10 0.00540442 0.0023477 0.00149807 3.98328e-08 3.32195e-05 0 0 0 1.71659e-33 8.36882e-34 1.0178e-30 0 0 0 0 0 0 2.64546e-19 2.80294e-09 2.38133e-13 2.0456e-28 0 0.090657 0.33602 0.00814399 3.46663e-12 1.27689e-16 2.57517e-09 3.59529e-08 6.96328e-09 8.71629e-14 4.58728e-10 1.36595e-05 6.81925e-10 0.0300682 0.157411 0.00726882 3.53658e-06 5.05058e-18 1.79756e-09 3.87942e-06 2.47984e-15 1.53986e-05 1.40039e-08 0 0 0.000519643 0.000262975 0 0 0 5.21923e-13 0.125908 0 0 0 0.127028 1.40889e-13 0.984174 
0 0 0 5.39055e-23 2.52128e-09 5.46556e-16 5.98029e-30 0 1.80405e-14 1.09483e-13 5.55025e-06 1.26903e-10 0.00540443 0.00234759 0.00149804 3.9832e-08 3.32196e-05 0 0 0 1.71659e-33 8.3684e-34 1.01777e-30 0 0 0 0 0 0 2.6454e-19 2.80299e-09 2.38133e-13 2.0455e-28 0 0.0906585 0.336012 0.00814398 3.46663e-12 1.27686e-16 2.57505e-09 3.59521e-08 6.96329e-09 8.71611e-14 4.58729e-10 1.36621e-05 6.82043e-10 0.030074 0.157435 0.00727008 3.53663e-06 5.06676e-18 1.79756e-09 3.87953e-06 2.47983e-15 1.5399e-05 1.40041e-08 0 0 0.000519642 0.000262978 0 0 0 5.21932e-13 0.125911 0 0 0 0.12703 1.40886e-13 0.984173 
0 0 0 5.39047e-23 2.52134e-09 5.4656e-16 5.98003e-30 0 1.8041e-14 1.09488e-13 5.55025e-06 1.269e-10 0.00540444 0.00234747 0.001498 3.98311e-08 3.32196e-05 0 0 0 1.71658e-33 8.36796e-34 1.01775e-30 0 0 0 0 0 0 2.64535e-19 2.80305e-09 2.38133e-13 2.0454e-28 0 0.0906602 0.336005 0.00814398 3.46664e-12 1.27683e-16 2.57492e-09 3.59513e-08 6.9633e-09 8.71591e-14 4.58729e-10 1.3665e-05 6.82175e-10 0.0300804 0.157462 0.00727149 3.5367e-06 5.06699e-18 1.79756e-09 3.87966e-06 2.47983e-15 1.53995e-05 1.40044e-08 0 0 0.00051964 0.000262982 0 0 0 5.21942e-13 0.125915 0 0 0 0.127032 1.40883e-13 0.984173 
0 0 0 5.39037e-23 2.52141e-09 5.46564e-16 5.97972e-30 0 1.80415e-14 1.09493e-13 5.55025e-06 1.26896e-10 0.00540444 0.00234733 0.00149796 3.983e-08 3.32196e-05 0 0 0 1.71659e-33 8.36748e-34 1.01772e-30 0 0 0 0 0 0 2.6453e-19 2.80313e-09 2.38135e-13 2.04529e-28 0 0.090662 0.335995 0.00814397 3.46663e-12 1.2768e-16 2.57477e-09 3.59503e-08 6.96331e-09 8.71569e-14 4.5873e-10 1.36681e-05 6.8232e-10 0.0300875 0.157492 0.00727304 3.53677e-06 5.0672e-18 1.79756e-09 3.87979e-06 2.47983e-15 1.54e-05 1.40046e-08 0 0 0.000519637 0.000262987 0 0 0 5.21953e-13 0.12592 0 0 0 0.127035 1.40879e-13 0.984172 
0 0 0 5.39026e-23 2.52149e-09 5.46569e-16 5.97939e-30 0 1.80421e-14 1.095e-13 5.55025e-06 1.26893e-10 0.00540445 0.00234719 0.00149792 3.98289e-08 3.32197e-05 0 0 0 1.71658e-33 8.36689e-34 1.01769e-30 0 0 0 0 0 0 2.64521e-19 2.80318e-09 2.38134e-13 2.04516e-28 0 0.0906639 0.335985 0.00814395 3.46663e-12 1.27676e-16 2.57461e-09 3.59493e-08 6.96332e-09 8.71545e-14 4.5873e-10 1.36717e-05 6.8248e-10 0.0300952 0.157524 0.00727475 3.53685e-06 5.06747e-18 1.79756e-09 3.87994e-06 2.47983e-15 1.54005e-05 1.40049e-08 0 0 0.000519635 0.000262992 0 0 0 5.21964e-13 0.125925 0 0 0 0.127038 1.40875e-13 0.984171 
0 0 0 5.39014e-23 2.52158e-09 5.46574e-16 5.97903e-30 0 1.80427e-14 1.09507e-13 5.55025e-06 1.26889e-10 0.00540446 0.00234703 0.00149787 3.98277e-08 3.32197e-05 0 0 0 1.71657e-33 8.36628e-34 1.01765e-30 0 0 0 0 0 0 2.64514e-19 2.80326e-09 2.38135e-13 2.04502e-28 0 0.0906662 0.335974 0.00814394 3.46664e-12 1.27672e-16 2.57443e-09 3.59482e-08 6.96333e-09 8.71518e-14 4.58731e-10 1.36755e-05 6.82656e-10 0.0301038 0.15756 0.00727663 3.53693e-06 5.06777e-18 1.79756e-09 3.8801e-06 2.47983e-15 1.54012e-05 1.40053e-08 0 0 0.000519632 0.000262998 0 0 0 5.21977e-13 0.12593 0 0 0 0.127041 1.4087e-13 0.98417 
0 0 0 5.39001e-23 2.52167e-09 5.4658e-16 5.97862e-30 0 1.80434e-14 1.09514e-13 5.55025e-06 1.26884e-10 0.00540447 0.00234684 0.00149782 3.98264e-08 3.32198e-05 0 0 0 1.71657e-33 8.3656e-34 1.01761e-30 0 0 0 0 0 0 2.64505e-19 2.80334e-09 2.38136e-13 2.04486e-28 0 0.0906686 0.335962 0.00814393 3.46664e-12 1.27667e-16 2.57423e-09 3.5947e-08 6.96334e-09 8.71488e-14 4.58731e-10 1.36798e-05 6.8285e-10 0.0301132 0.157599 0.00727871 3.53703e-06 5.07317e-18 1.79756e-09 3.88028e-06 2.47982e-15 1.54019e-05 1.40056e-08 0 0 0.000519628 0.000263005 0 0 0 5.21992e-13 0.125936 0 0 0 0.127044 1.40865e-13 0.98417 
0 0 0 5.38987e-23 2.52178e-09 5.46586e-16 5.97818e-30 0 1.80441e-14 1.09522e-13 5.55025e-06 1.26879e-10 0.00540448 0.00234665 0.00149776 3.98249e-08 3.32198e-05 0 0 0 1.71656e-33 8.36484e-34 1.01757e-30 0 0 0 0 0 0 2.64496e-19 2.80343e-09 2.38136e-13 2.04469e-28 0 0.0906713 0.335949 0.00814392 3.46664e-12 1.27662e-16 2.57401e-09 3.59456e-08 6.96335e-09 8.71456e-14 4.58732e-10 1.36845e-05 6.83063e-10 0.0301236 0.157643 0.00728098 3.53713e-06 5.07725e-18 1.79756e-09 3.88048e-06 2.47982e-15 1.54026e-05 1.4006e-08 0 0 0.000519624 0.000263013 0 0 0 5.22007e-13 0.125942 0 0 0 0.127048 1.4086e-13 0.984169 
0 0 0 5.38972e-23 2.52189e-09 5.46592e-16 5.97771e-30 0 1.80449e-14 1.09531e-13 5.55025e-06 1.26874e-10 0.00540449 0.00234644 0.0014977 3.98233e-08 3.32199e-05 0 0 0 1.71656e-33 8.36406e-34 1.01752e-30 0 0 0 0 0 0 2.64487e-19 2.80354e-09 2.38137e-13 2.04452e-28 0 0.0906736 0.335933 0.00814386 3.46663e-12 1.27657e-16 2.57378e-09 3.59442e-08 6.96337e-09 8.71421e-14 4.58733e-10 1.36896e-05 6.83296e-10 0.0301349 0.15769 0.00728348 3.53724e-06 5.06877e-18 1.79756e-09 3.88068e-06 2.47982e-15 1.54034e-05 1.40064e-08 0 0 0.00051962 0.000263022 0 0 0 5.22024e-13 0.125949 0 0 0 0.127052 1.40854e-13 0.984168 
0 0 0 5.38954e-23 2.52202e-09 5.466e-16 5.97716e-30 0 1.80459e-14 1.09541e-13 5.55025e-06 1.26868e-10 0.00540451 0.00234619 0.00149763 3.98214e-08 3.32199e-05 0 0 0 1.71655e-33 8.36309e-34 1.01746e-30 0 0 0 0 0 0 2.64474e-19 2.80364e-09 2.38137e-13 2.0443e-28 0 0.0906775 0.335919 0.00814389 3.46664e-12 1.27651e-16 2.57351e-09 3.59425e-08 6.96339e-09 8.7138e-14 4.58733e-10 1.36952e-05 6.83553e-10 0.0301474 0.157743 0.00728623 3.53737e-06 5.06919e-18 1.79757e-09 3.88093e-06 2.47982e-15 1.54044e-05 1.40069e-08 0 0 0.000519615 0.000263033 0 0 0 5.22044e-13 0.125957 0 0 0 0.127056 1.40847e-13 0.984166 
0 0 0 5.38936e-23 2.52216e-09 5.46609e-16 5.97659e-30 0 1.80469e-14 1.09552e-13 5.55025e-06 1.26861e-10 0.00540452 0.00234593 0.00149756 3.98195e-08 3.322e-05 0 0 0 1.71654e-33 8.3621e-34 1.0174e-30 0 0 0 0 0 0 2.64462e-19 2.80376e-09 2.38138e-13 2.04408e-28 0 0.090681 0.335901 0.00814388 3.46664e-12 1.27644e-16 2.57323e-09 3.59407e-08 6.9634e-09 8.71338e-14 4.58734e-10 1.37014e-05 6.83833e-10 0.0301611 0.1578 0.00728923 3.53751e-06 5.06966e-18 1.79757e-09 3.88119e-06 2.47981e-15 1.54054e-05 1.40074e-08 0 0 0.000519609 0.000263045 0 0 0 5.22064e-13 0.125966 0 0 0 0.127061 1.4084e-13 0.984165 
0 0 0 5.38915e-23 2.52231e-09 5.46618e-16 5.97593e-30 0 1.8048e-14 1.09563e-13 5.55025e-06 1.26854e-10 0.00540454 0.00234564 0.00149748 3.98173e-08 3.32201e-05 0 0 0 1.71652e-33 8.36098e-34 1.01734e-30 0 0 0 0 0 0 2.64449e-19 2.80389e-09 2.38139e-13 2.04383e-28 0 0.0906849 0.335882 0.00814386 3.46664e-12 1.27637e-16 2.57291e-09 3.59387e-08 6.96343e-09 8.7129e-14 4.58735e-10 1.37081e-05 6.8414e-10 0.030176 0.157862 0.00729251 3.53766e-06 5.07012e-18 1.79757e-09 3.88147e-06 2.47981e-15 1.54065e-05 1.4008e-08 0 0 0.000519602 0.000263058 0 0 0 5.22087e-13 0.125975 0 0 0 0.127066 1.40832e-13 0.984164 
