Al(SO4)+ Al(SO4)2- Al+3 AlO+ AlO2- AlO2H@ AlOH+2 AlHSiO3+2 AlSiO4- AlSiO5-3 Ca(CO3)@ Ca(HCO3)+ Ca(SO4)@ Ca+2 CaOH+ Ca(HSiO3)+ CaSiO3@ Fe(CO3)@ Fe(HCO3)+ Fe(HSO4)+ Fe(SO4)@ Fe+2 FeOH+ Fe(HSO4)+2 Fe(SO4)+ Fe(SO4)2- Fe+3 Fe2(OH)2+4 Fe3(OH)4+5 FeO+ FeO2- FeO2H@ FeOH+2 FeHSiO3+2 K(SO4)- K+ KOH@ Mg(CO3)@ Mg(HCO3)+ Mg+2 MgOH+ MgSO4@ Mg(HSiO3)+ MgSiO3@ Na(CO3)- Na(HCO3)@ Na(SO4)- Na+ NaOH@ HSiO3- Si4O10-4 SiO2@ SiO3-2 CO2@ CO3-2 HCO3- CH4@ H2@ N2@ O2@ S2O3-2 HSO3- SO3-2 HSO4- SO4-2 H2S@ HS- S-2 OH- H+ H2O@ 
0 0 0 1.12499e-26 5.26012e-13 1.14044e-19 1.24835e-33 0 3.76377e-18 2.28378e-17 5.55025e-06 1.26926e-10 0.00540438 0.00234854 0.00149831 3.98391e-08 3.32193e-05 0 0 0 0 0 0 0 0 0 0 0 0 1.48137e-23 1.56911e-13 1.33325e-17 1.1457e-32 0 0.0906414 0.336059 0.00814365 3.46663e-12 1.2771e-16 2.57609e-09 3.59586e-08 6.96322e-09 8.71766e-14 4.58725e-10 1.36411e-05 6.81095e-10 0.0300276 0.157244 0.00725994 3.53614e-06 5.06517e-18 1.79756e-09 3.8786e-06 2.47985e-15 1.53954e-05 1.40023e-08 0 0 0.000519654 0.000262952 0 0 0 5.21858e-13 0.125881 0 0 0 0.127013 1.40912e-13 0.984178 
0 0 0 5.44799e-23 2.54729e-09 5.52277e-16 6.04543e-30 0 1.82266e-14 1.1084e-13 5.55025e-06 1.26927e-10 0.00540438 0.00234857 0.00149831 3.98393e-08 3.32193e-05 0 0 0 5.42519e-34 2.64592e-34 3.21726e-31 0 0 0 0 0 0 8.3621e-20 8.85728e-10 7.52596e-14 6.46733e-29 0 0.0906453 0.336077 0.00814404 3.46664e-12 1.2771e-16 2.57612e-09 3.59588e-08 6.96322e-09 8.71772e-14 4.58725e-10 1.36391e-05 6.80998e-10 0.0300232 0.157222 0.0072589 3.53612e-06 5.08512e-18 1.79756e-09 3.87857e-06 2.47985e-15 1.53953e-05 1.40022e-08 0 0 0.000519654 0.000262953 0 0 0 5.21855e-13 0.12588 0 0 0 0.127012 1.40913e-13 0.984178 
0 0 0 5.43862e-23 2.54292e-09 5.51329e-16 6.03502e-30 0 1.81954e-14 1.10405e-13 5.55025e-06 1.26927e-10 0.00540438 0.00234855 0.00149831 3.98392e-08 3.32193e-05 0 0 0 8.63824e-34 4.21294e-34 5.12266e-31 0 0 0 0 0 0 1.33145e-19 1.4103e-09 1.19832e-13 1.02975e-28 0 0.0906454 0.336077 0.00814404 3.46663e-12 1.2771e-16 2.57611e-09 3.59587e-08 6.96322e-09 8.71769e-14 4.58725e-10 1.36394e-05 6.81009e-10 0.0300237 0.157225 0.00725902 3.53613e-06 5.0651e-18 1.79756e-09 3.87857e-06 2.47985e-15 1.53953e-05 1.40022e-08 0 0 0.000519654 0.000262953 0 0 0 5.21856e-13 0.12588 0 0 0 0.127012 1.40913e-13 0.984178 
0 0 0 5.42933e-23 2.53859e-09 5.50388e-16 6.02469e-30 0 1.81644e-14 1.10089e-13 5.55025e-06 1.26926e-10 0.00540438 0.00234854 0.00149831 3.98391e-08 3.32193e-05 0 0 0 1.09046e-33 5.31823e-34 6.46664e-31 0 0 0 0 0 0 1.68077e-19 1.78032e-09 1.51272e-13 1.29992e-28 0 0.0906454 0.336075 0.00814402 3.46663e-12 1.2771e-16 2.57609e-09 3.59586e-08 6.96322e-09 8.71767e-14 4.58725e-10 1.36398e-05 6.81028e-10 0.0300246 0.157229 0.00725922 3.53613e-06 5.0546e-18 1.79756e-09 3.87859e-06 2.47985e-15 1.53954e-05 1.40022e-08 0 0 0.000519654 0.000262954 0 0 0 5.21857e-13 0.12588 0 0 0 0.127012 1.40912e-13 0.984178 
0 0 0 5.42256e-23 2.53538e-09 5.49697e-16 6.01726e-30 0 1.81414e-14 1.10077e-13 5.55025e-06 1.26928e-10 0.00540437 0.0023486 0.00149832 3.98395e-08 3.32193e-05 0 0 0 1.2287e-33 5.99256e-34 7.2865e-31 0 0 0 0 0 0 1.89386e-19 2.006e-09 1.70448e-13 1.46474e-28 0 0.09064 0.336061 0.00814361 3.46663e-12 1.27711e-16 2.57615e-09 3.5959e-08 6.96321e-09 8.71774e-14 4.58725e-10 1.36399e-05 6.81041e-10 0.030025 0.157233 0.00725937 3.53611e-06 5.06505e-18 1.79755e-09 3.87854e-06 2.47984e-15 1.53952e-05 1.40021e-08 0 0 0.000519654 0.000262954 0 0 0 5.21853e-13 0.125879 0 0 0 0.127012 1.40914e-13 0.984178 
0 0 0 5.41719e-23 2.53296e-09 5.49163e-16 6.01115e-30 0 1.81241e-14 1.09974e-13 5.55025e-06 1.26925e-10 0.00540438 0.00234849 0.00149829 3.98387e-08 3.32194e-05 0 0 0 1.32579e-33 6.46582e-34 7.86213e-31 0 0 0 0 0 0 2.04348e-19 2.16455e-09 1.83918e-13 1.58042e-28 0 0.0906471 0.336075 0.00814411 3.46663e-12 1.27708e-16 2.57604e-09 3.59583e-08 6.96322e-09 8.71758e-14 4.58726e-10 1.36407e-05 6.81069e-10 0.0300267 0.157237 0.00725967 3.53616e-06 5.06523e-18 1.79756e-09 3.87864e-06 2.47984e-15 1.53956e-05 1.40023e-08 0 0 0.000519654 0.000262954 0 0 0 5.21861e-13 0.125882 0 0 0 0.127013 1.40911e-13 0.984178 
0 0 0 5.41279e-23 2.53091e-09 5.48717e-16 6.00625e-30 0 1.81094e-14 1.09885e-13 5.55025e-06 1.26925e-10 0.00540438 0.00234849 0.00149829 3.98387e-08 3.32193e-05 0 0 0 1.40075e-33 6.83138e-34 8.30665e-31 0 0 0 0 0 0 2.15902e-19 2.28693e-09 1.94316e-13 1.66977e-28 0 0.0906461 0.33607 0.008144 3.46663e-12 1.27708e-16 2.57603e-09 3.59582e-08 6.96322e-09 8.71757e-14 4.58726e-10 1.36412e-05 6.81093e-10 0.0300278 0.157242 0.00725992 3.53617e-06 5.06524e-18 1.79756e-09 3.87865e-06 2.47984e-15 1.53956e-05 1.40024e-08 0 0 0.000519653 0.000262954 0 0 0 5.21862e-13 0.125882 0 0 0 0.127014 1.40911e-13 0.984178 
0 0 0 5.40895e-23 2.52914e-09 5.48331e-16 6.00196e-30 0 1.80967e-14 1.09809e-13 5.55025e-06 1.26924e-10 0.00540438 0.00234846 0.00149828 3.98385e-08 3.32194e-05 0 0 0 1.4623e-33 7.13144e-34 8.67156e-31 0 0 0 0 0 0 2.25386e-19 2.38742e-09 2.02854e-13 1.74311e-28 0 0.0906468 0.33607 0.00814403 3.46663e-12 1.27708e-16 2.576e-09 3.5958e-08 6.96322e-09 8.71753e-14 4.58726e-10 1.36418e-05 6.8112e-10 0.0300291 0.157247 0.0072602 3.53618e-06 5.06531e-18 1.79756e-09 3.87868e-06 2.47984e-15 1.53957e-05 1.40024e-08 0 0 0.000519653 0.000262955 0 0 0 5.21864e-13 0.125883 0 0 0 0.127014 1.4091e-13 0.984177 
0 0 0 5.40551e-23 2.52755e-09 5.47986e-16 5.9981e-30 0 1.80854e-14 1.0974e-13 5.55025e-06 1.26924e-10 0.00540438 0.00234843 0.00149827 3.98382e-08 3.32194e-05 0 0 0 1.51498e-33 7.38826e-34 8.98391e-31 0 0 0 0 0 0 2.33505e-19 2.47344e-09 2.10162e-13 1.80589e-28 0 0.090647 0.336067 0.00814401 3.46663e-12 1.27707e-16 2.57596e-09 3.59578e-08 6.96323e-09 8.71748e-14 4.58726e-10 1.36424e-05 6.8115e-10 0.0300305 0.157253 0.00726053 3.53619e-06 5.06532e-18 1.79756e-09 3.8787e-06 2.47984e-15 1.53958e-05 1.40025e-08 0 0 0.000519653 0.000262955 0 0 0 5.21866e-13 0.125884 0 0 0 0.127015 1.40909e-13 0.984177 
0 0 0 5.40237e-23 2.52611e-09 5.4767e-16 5.99457e-30 0 1.8075e-14 1.09678e-13 5.55025e-06 1.26923e-10 0.00540439 0.0023484 0.00149827 3.9838e-08 3.32194e-05 0 0 0 1.56144e-33 7.61477e-34 9.2594e-31 0 0 0 0 0 0 2.40665e-19 2.54932e-09 2.16608e-13 1.86126e-28 0 0.0906476 0.336066 0.00814403 3.46663e-12 1.27706e-16 2.57594e-09 3.59576e-08 6.96323e-09 8.71743e-14 4.58726e-10 1.36432e-05 6.81183e-10 0.0300322 0.15726 0.00726088 3.53621e-06 5.07076e-18 1.79756e-09 3.87874e-06 2.47984e-15 1.53959e-05 1.40025e-08 0 0 0.000519653 0.000262956 0 0 0 5.21869e-13 0.125885 0 0 0 0.127015 1.40908e-13 0.984177 
