Al C Ca Fe H K Mg Na Nit O S Si Zz 
0.000420474 0.00789313 0.0481168 1.30266e-05 5.02755 0.0185357 0.0804003 0.00828094 1.6 3.1812 0.0349697 0.00205528 2e-17 
0.00048049 0.00789313 0.0491186 1.53432e-05 5.0282 0.0185267 0.080402 0.00827676 1.6 3.18327 0.0349706 0.00237776 2e-17 
0.000547726 0.00789313 0.0502657 1.80126e-05 5.02894 0.0185163 0.0804039 0.00827197 1.6 3.18564 0.0349715 0.00274682 2e-17 
0.000623004 0.00789313 0.0515784 2.10844e-05 5.02979 0.0185044 0.0804061 0.00826648 1.6 3.18834 0.0349726 0.00316895 2e-17 
0.000707231 0.00789313 0.0530793 2.4615e-05 5.03074 0.0184908 0.0804085 0.0082602 1.6 3.19142 0.0349738 0.00365147 2e-17 
0.000801412 0.00789313 0.0547946 2.86679e-05 5.03183 0.0184753 0.0804112 0.00825303 1.6 3.19494 0.0349751 0.00420272 2e-17 
0.000906659 0.00789313 0.0567537 3.33153e-05 5.03306 0.0184575 0.0804142 0.00824483 1.6 3.19894 0.0349766 0.00483214 2e-17 
0.00102419 0.00789313 0.0589896 3.86381e-05 5.03446 0.0184373 0.0804176 0.00823547 1.6 3.20351 0.0349783 0.00555039 2e-17 
0.00115535 0.00789313 0.0615403 4.47276e-05 5.03605 0.0184141 0.0804213 0.00822478 1.6 3.2087 0.0349802 0.00636958 2e-17 
0.00130164 0.00789313 0.0644481 5.16864e-05 5.03784 0.0183877 0.0804255 0.0082126 1.6 3.21462 0.0349822 0.00730333 2e-17 
0.00146465 0.00789313 0.0677609 5.96292e-05 5.03988 0.0183576 0.0804302 0.0081987 1.6 3.22134 0.0349846 0.00836702 2e-17 
0.00164619 0.00789313 0.0715324 6.86841e-05 5.04218 0.0183234 0.0804353 0.00818287 1.6 3.22899 0.0349872 0.0095779 2e-17 
0.00184819 0.00789313 0.0758234 7.89947e-05 5.04478 0.0182844 0.0804411 0.00816485 1.6 3.23767 0.0349901 0.0109555 2e-17 
0.00207276 0.00789313 0.080701 9.07189e-05 5.04771 0.01824 0.0804475 0.00814435 1.6 3.24751 0.0349933 0.0125213 2e-17 
0.0023222 0.00789313 0.0862407 0.000104033 5.05103 0.0181895 0.0804546 0.00812104 1.6 3.25868 0.0349969 0.0142997 2e-17 
0.00259899 0.00789313 0.0925262 0.000119129 5.05477 0.0181323 0.0804625 0.00809456 1.6 3.27133 0.0350009 0.0163174 2e-17 
0.00290583 0.00789313 0.0996505 0.000136223 5.05898 0.0180673 0.0804713 0.00806451 1.6 3.28565 0.0350053 0.0186044 2e-17 
0.0032456 0.00789313 0.107505 0.000155545 5.06363 0.0179936 0.080481 0.00803045 1.6 3.30142 0.0350102 0.0211231 2e-17 
0.0036214 0.00789313 0.115882 0.000177352 5.06861 0.0179126 0.0804917 0.00799294 1.6 3.31828 0.0350157 0.0238031 2e-17 
0.00403654 0.00789313 0.124796 0.000201917 5.07398 0.0178266 0.0805035 0.00795301 1.6 3.33626 0.0350217 0.0266477 2e-17 
0.00449452 0.00789313 0.134258 0.000229538 5.07975 0.0177354 0.0805166 0.00791063 1.6 3.35539 0.0350283 0.0296596 2e-17 
0.00499901 0.00789313 0.144279 0.000260535 5.08593 0.0176391 0.080531 0.00786573 1.6 3.3757 0.0350357 0.0328402 2e-17 
0.00555392 0.00789313 0.154864 0.00029525 5.09255 0.0175375 0.0805468 0.0078183 1.6 3.39722 0.0350437 0.0361902 2e-17 
0.00615631 0.00789313 0.166007 0.000334049 5.09958 0.0174308 0.0805639 0.0077683 1.6 3.41993 0.0350525 0.0397091 2e-17 
0.00679285 0.00789313 0.17768 0.000377329 5.10697 0.017319 0.080582 0.00771575 1.6 3.44373 0.0350619 0.0433949 2e-17 
0.00746378 0.00789313 0.189875 0.00042555 5.11471 0.017202 0.0806011 0.00766066 1.6 3.46863 0.0350718 0.0472449 2e-17 
0.00816915 0.00789313 0.202577 0.000479213 5.12279 0.0170801 0.0806212 0.00760306 1.6 3.49458 0.0350822 0.051255 2e-17 
0.00890881 0.00789313 0.215769 0.000538875 5.1312 0.0169534 0.0806421 0.00754301 1.6 3.52157 0.0350932 0.0554199 2e-17 
0.00968239 0.00789313 0.229429 0.000605148 5.13994 0.0168222 0.0806641 0.00748057 1.6 3.54954 0.0351048 0.0597335 2e-17 
0.0104894 0.00789313 0.243534 0.000678713 5.14899 0.0166866 0.0806869 0.00741583 1.6 3.57846 0.035117 0.0641886 2e-17 
0.011329 0.00789313 0.258056 0.000760327 5.15833 0.016547 0.0807107 0.00734889 1.6 3.60828 0.0351298 0.0687775 2e-17 
0.0122003 0.00789313 0.272955 0.000850833 5.16795 0.0164037 0.0807353 0.00727985 1.6 3.63892 0.0351431 0.0734864 2e-17 
0.0131022 0.00789313 0.288177 0.000951182 5.17781 0.0162571 0.0807607 0.0072089 1.6 3.67026 0.0351571 0.0782944 2e-17 
