Void H2O C3S C2S C3A C4AF K2SO4 NA2SO4 GYPSUM HEMIANH CACO3 CH CSH AFMC MONOSULPH ETTR BRUCITE HYDROTALC AFM LIME PERICLASE DAMAGE 
0 0.581304 0.23527 0.0635676 0.0354702 0.0251339 0 0 0.0243424 0 0.00392851 0.00421044 8.64624e-05 0 0 0 0.0266864 0 0 0 0 0 
0 0.581298 0.23527 0.0635616 0.0354701 0.0251339 0 0 0.0243458 0 0.00392851 0.00421127 9.53123e-05 0 0 1.1504e-06 0.0266864 0 0 0 0 0 
0 0.581282 0.235268 0.0635549 0.0354682 0.0251339 0 0 0.024341 0 0.00392851 0.00421418 0.000106816 0 0 1.6393e-05 0.0266864 0 0 0 0 0 
0 0.581258 0.235262 0.0635477 0.0354651 0.0251339 0 0 0.0243329 0 0.00392851 0.00422023 0.000124041 0 0 4.16142e-05 0.0266865 0 0 0 0 0 
0 0.581227 0.235251 0.0635397 0.0354612 0.0251338 0 0 0.0243224 0 0.00392851 0.00422944 0.00014715 0 0 7.37111e-05 0.0266865 0 0 0 0 0 
0 0.581188 0.235235 0.0635308 0.0354565 0.0251336 0 0 0.0243109 0 0.00392851 0.00424179 0.000176231 0 0 0.000112334 0.0266866 0 0 0 0 0 
0 0.581141 0.235214 0.0635212 0.035451 0.0251335 0 0 0.0242966 0 0.00392851 0.00425755 0.000211711 0 0 0.000157727 0.0266867 0 0 0 0 0 
0 0.581086 0.235188 0.0635105 0.0354446 0.0251333 0 0 0.0242803 0 0.00392851 0.00427703 0.00025424 0 0 0.000210396 0.0266868 0 0 0 0 0 
0 0.581021 0.235156 0.0634988 0.0354373 0.025133 0 0 0.0242615 0 0.00392851 0.00430069 0.000304642 0 0 0.000271013 0.0266869 0 0 0 0 0 
0 0.580946 0.235117 0.0634859 0.035429 0.0251327 0 0 0.0242401 0 0.00392851 0.00432908 0.000363912 0 0 0.000340394 0.0266871 0 0 0 0 0 
0 0.580859 0.235071 0.0634718 0.0354195 0.0251323 0 0 0.0242157 0 0.00392851 0.00436283 0.000433211 0 0 0.000419485 0.0266872 0 0 0 0 0 
0 0.580759 0.235015 0.0634563 0.0354088 0.0251319 0 0 0.024188 0 0.00392851 0.00440272 0.000513896 0 0 0.000509375 0.0266874 0 0 0 0 0 
0 0.580643 0.234949 0.0634392 0.0353966 0.0251314 0 0 0.0241567 0 0.00392851 0.00444959 0.000607515 0 0 0.000611289 0.0266876 0 0 0 0 0 
0 0.580511 0.234871 0.0634204 0.0353829 0.0251308 0 0 0.0241213 0 0.00392851 0.00450447 0.000715854 0 0 0.000726613 0.0266878 2.87579e-20 0 0 0 0 
0 0.580359 0.234779 0.0633997 0.0353675 0.02513 0 0 0.0240817 0 0.00392851 0.0045686 0.000840959 0 0 0.000856194 0.026688 2.30605e-07 0 0 0 0 
0 0.580187 0.234672 0.0633771 0.0353501 0.0251292 0 0 0.024037 0 0.00392851 0.00464327 0.000985161 0 0 0.00100209 0.0266881 5.88203e-07 0 0 0 0 
0 0.57999 0.234547 0.0633522 0.0353305 0.0251282 0 0 0.0239868 0 0.00392851 0.00472997 0.00115112 0 0 0.00116633 0.0266882 1.0496e-06 0 0 0 0 
0 0.579765 0.234402 0.0633248 0.0353085 0.0251271 0 0 0.0239305 0 0.00392851 0.00483047 0.00134189 0 0 0.00135105 0.0266883 1.63294e-06 0 0 0 0 
0 0.57951 0.234233 0.0632948 0.0352839 0.0251258 0 0 0.0238672 0 0.00392851 0.00494676 0.00156093 0 0 0.00155858 0.0266884 2.36401e-06 0 0 0 0 
0 0.579219 0.234037 0.0632619 0.0352562 0.0251243 0 0 0.0237968 0 0.00392851 0.0050811 0.00181219 0 0 0.00179157 0.0266885 3.26564e-06 0 0 0 0 
0 0.578888 0.233811 0.0632257 0.0352253 0.0251225 0 0 0.0237171 0 0.00392851 0.00523616 0.00210015 0 0 0.00205296 0.0266886 4.36888e-06 0 0 0 0 
0 0.578512 0.233548 0.0631861 0.0351906 0.0251205 0 0 0.0236284 0 0.00392851 0.00541486 0.00242995 0 0 0.00234599 0.0266886 5.70898e-06 0 0 0 0 
0 0.578086 0.233246 0.0631426 0.0351518 0.0251181 0 0 0.0235291 0 0.00392851 0.00562063 0.0028074 0 0 0.00267427 0.0266885 7.32627e-06 0 0 0 0 
0 0.577602 0.232897 0.063095 0.0351083 0.0251154 0 0 0.0234181 0 0.00392851 0.00585735 0.00323911 0 0 0.00304181 0.0266884 9.26706e-06 0 0 0 0 
0 0.577053 0.232495 0.0630429 0.0350598 0.0251123 0 0 0.0232941 0 0.00392851 0.00612942 0.00373258 0 0 0.00345304 0.0266882 1.15858e-05 0 0 0 0 
0 0.576431 0.232031 0.0629858 0.0350056 0.0251088 0 0 0.0231557 0 0.00392851 0.00644188 0.00429634 0 0 0.00391288 0.0266879 1.4343e-05 0 0 0 0 
0 0.575726 0.231499 0.0629234 0.0349451 0.0251047 0 0 0.0230014 0 0.00392851 0.00680045 0.00494006 0 0 0.00442672 0.0266876 1.76169e-05 0 0 0 0 
0 0.574927 0.230887 0.0628552 0.0348777 0.0251 0 0 0.0228294 0 0.00392851 0.00721158 0.00567461 0 0 0.00500057 0.026687 2.14659e-05 0 0 0 0 
0 0.574024 0.230184 0.0627807 0.0348025 0.0250947 0 0 0.0226377 0 0.00392852 0.00768266 0.00651239 0 0 0.00564099 0.0266864 2.60031e-05 0 0 0 0 
0 0.573001 0.229378 0.0626995 0.0347187 0.0250886 0 0 0.0224245 0 0.00392852 0.00822202 0.00746734 0 0 0.00635519 0.0266855 3.13265e-05 0 0 0 0 
0 0.571845 0.228454 0.062611 0.0346255 0.0250816 0 0 0.0221873 0 0.00392852 0.00883906 0.00855517 0 0 0.00715112 0.0266844 3.7553e-05 0 0 0 0 
0 0.570539 0.227395 0.0625147 0.0345218 0.0250737 0 0 0.0219237 0 0.00392852 0.00954439 0.00979354 0 0 0.00803745 0.026683 4.48159e-05 0 0 0 0 
0 0.569064 0.226184 0.0624101 0.0344065 0.0250646 0 0 0.0216311 0 0.00392852 0.01035 0.0112024 0 0 0.00902371 0.0266814 5.32658e-05 0 0 0 0 
0 0.5674 0.2248 0.0622966 0.0342786 0.0250543 0 0 0.0213065 0 0.00392852 0.0112693 0.0128038 0 0 0.0101202 0.0266793 6.30702e-05 0 0 0 0 
0 0.565523 0.22322 0.0621736 0.0341366 0.0250426 0 0 0.0209468 0 0.00392853 0.0123172 0.0146225 0 0 0.011338 0.0266769 7.44169e-05 0 0 0 0 
0 0.563408 0.221418 0.0620407 0.0339792 0.0250294 0 0 0.0205486 0 0.00392853 0.0135105 0.016686 0 0 0.0126894 0.026674 8.75145e-05 0 0 0 0 
0 0.561029 0.219365 0.0618973 0.033805 0.0250144 0 0 0.0201083 0 0.00392853 0.0148677 0.0190249 0 0 0.0141876 0.0266705 0.000102596 0 0 0 0 
0 0.558399 0.217098 0.0617429 0.0336124 0.0249974 0 0 0.0196233 0 0.00392853 0.0163642 0.0216008 0 0 0.0158464 0.0266664 0.000119913 0 0 0 0 
0 0.55556 0.214689 0.061577 0.0333995 0.0249783 0 0 0.0190881 0 0.00392854 0.0179546 0.0243416 0 0 0.0176812 0.0266615 0.000139748 0 0 0 0 
0 0.552503 0.212135 0.0613989 0.0331647 0.0249568 0 0 0.0184942 0 0.00392854 0.0196413 0.0272509 0 0 0.0197081 0.0266558 0.000162406 0 0 0 0 
